"date_from,date_to,inflation"
"2006-11,2006-12,1.2"
"2006-12,2007-01,1.4"
"2007-01,2007-02,0.5"
"2007-02,2007-03,-0.1"
"2007-03,2007-04,0.5"
"2007-04,2007-05,0.1"
"2007-05,2007-06,-0.4"
"2007-06,2007-07,2.2"
"2007-07,2007-08,3.1"
"2007-08,2007-09,1.3"
"2007-09,2007-10,0.6"
"2007-10,2007-11,1.6"
"2007-11,2007-12,1.1"
"2007-12,2008-01,1.4"
"2008-01,2008-02,1.1"
"2008-02,2008-03,0.8"
"2008-03,2008-04,0.9"
"2008-04,2008-05,0.5"
"2008-05,2008-06,-0.2"
"2008-06,2008-07,1.5"
"2008-07,2008-08,0.1"
"2008-08,2008-09,1.1"
"2008-09,2008-10,0.5"
"2008-10,2008-11,-0.1"
"2008-11,2008-12,-0.2"
"2008-12,2009-01,0.8"
"2009-01,2009-02,0.1"
"2009-02,2009-03,-0.2"
"2009-03,2009-04,0.7"
"2009-04,2009-05,-0.3"
"2009-05,2009-06,-0.4"
"2009-06,2009-07,-0.6"
"2009-07,2009-08,-0.2"
"2009-08,2009-09,0.0"
"2009-09,2009-10,0.1"
"2009-10,2009-11,0.1"
"2009-11,2009-12,0.5"
"2009-12,2010-01,0.6"
"2010-01,2010-02,0.6"
"2010-02,2010-03,0.2"
"2010-03,2010-04,1.1"
"2010-04,2010-05,-0.2"
"2010-05,2010-06,-0.9"
"2010-06,2010-07,0.4"
"2010-07,2010-08,0.1"
"2010-08,2010-09,0.8"
"2010-09,2010-10,0.6"
"2010-10,2010-11,0.7"
"2010-11,2010-12,0.4"
"2010-12,2011-01,0.6"
"2011-01,2011-02,1.2"
"2011-02,2011-03,0.6"
"2011-03,2011-04,0.2"
"2011-04,2011-05,0.0"
"2011-05,2011-06,-0.9"
"2011-06,2011-07,0.0"
"2011-07,2011-08,-0.3"
"2011-08,2011-09,0.0"
"2011-09,2011-10,0.8"
"2011-10,2011-11,0.3"
"2011-11,2011-12,0.1"
"2011-12,2012-01,0.2"
"2012-01,2012-02,0.9"
"2012-02,2012-03,0.3"
"2012-03,2012-04,0.2"
"2012-04,2012-05,-0.1"
"2012-05,2012-06,-1.0"
"2012-06,2012-07,1.5"
"2012-07,2012-08,0.5"
"2012-08,2012-09,1.1"
"2012-09,2012-10,0.3"
"2012-10,2012-11,-0.1"
"2012-11,2012-12,0.4"
"2012-12,2013-01,0.4"
"2013-01,2013-02,0.1"
"2013-02,2013-03,-0.5"
"2013-03,2013-04,-0.4"
"2013-04,2013-05,-0.1"
"2013-05,2013-06,-0.4"
"2013-06,2013-07,-0.5"
"2013-07,2013-08,-0.6"
"2013-08,2013-09,0.1"
"2013-09,2013-10,0.5"
"2013-10,2013-11,-0.2"
"2013-11,2013-12,0.3"
"2013-12,2014-01,-0.2"
"2014-01,2014-02,-0.4"
"2014-02,2014-03,-0.2"
"2014-03,2014-04,0.3"
"2014-04,2014-05,-0.5"
"2014-05,2014-06,-0.4"
"2014-06,2014-07,0.4"
"2014-07,2014-08,-0.2"
"2014-08,2014-09,-0.2"
"2014-09,2014-10,0.9"
"2014-10,2014-11,-0.4"
"2014-11,2014-12,0.0"
"2014-12,2015-01,-0.4"
"2015-01,2015-02,0.2"
"2015-02,2015-03,0.4"
"2015-03,2015-04,0.7"
"2015-04,2015-05,-0.2"
"2015-05,2015-06,-0.9"
"2015-06,2015-07,-0.2"
"2015-07,2015-08,0.0"
"2015-08,2015-09,-0.1"
"2015-09,2015-10,0.2"
"2015-10,2015-11,-0.1"
"2015-11,2015-12,0.0"
"2015-12,2016-01,0.0"
"2016-01,2016-02,-0.3"
"2016-02,2016-03,-0.7"
"2016-03,2016-04,0.0"
"2016-04,2016-05,0.0"
"2016-05,2016-06,-0.1"
"2016-06,2016-07,1.0"
"2016-07,2016-08,0.0"
"2016-08,2016-09,-0.5"
"2016-09,2016-10,0.2"
"2016-10,2016-11,0.0"
"2016-11,2016-12,0.6"
"2016-12,2017-01,1.3"
"2017-01,2017-02,0.0"
"2017-02,2017-03,-0.5"
"2017-03,2017-04,0.7"
"2017-04,2017-05,-0.3"
"2017-05,2017-06,-0.5"
"2017-06,2017-07,0.3"
"2017-07,2017-08,0.1"
"2017-08,2017-09,0.2"
"2017-09,2017-10,0.6"
"2017-10,2017-11,0.4"
"2017-11,2017-12,0.4"
"2017-12,2018-01,0.3"
"2018-01,2018-02,0.3"
"2018-02,2018-03,-0.3"
"2018-03,2018-04,0.4"
"2018-04,2018-05,0.3"
"2018-05,2018-06,0.1"
"2018-06,2018-07,0.7"
"2018-07,2018-08,0.1"
"2018-08,2018-09,0.3"
"2018-09,2018-10,0.7"
"2018-10,2018-11,-0.1"
"2018-11,2018-12,0.0"
"2018-12,2019-01,0.6"
"2019-01,2019-02,0.5"
"2019-02,2019-03,0.1"
"2019-03,2019-04,0.5"
"2019-04,2019-05,0.1"
"2019-05,2019-06,-0.6"
"2019-06,2019-07,0.8"
"2019-07,2019-08,0.1"
"2019-08,2019-09,-0.3"
"2019-09,2019-10,0.8"
"2019-10,2019-11,0.5"
"2019-11,2019-12,0.7"
"2019-12,2020-01,0.9"
"2020-01,2020-02,0.1"
"2020-02,2020-03,-0.6"
"2020-03,2020-04,-0.6"
"2020-04,2020-05,-0.3"
"2020-05,2020-06,-0.4"
"2020-06,2020-07,0.5"
"2020-07,2020-08,0.0"
"2020-08,2020-09,-0.6"
"2020-09,2020-10,0.6"
"2020-10,2020-11,0.1"
"2020-11,2020-12,0.5"
"2020-12,2021-01,0.2"
"2021-01,2021-02,0.6"
"2021-02,2021-03,0.1"
"2021-03,2021-04,0.7"
"2021-04,2021-05,0.1"
"2021-05,2021-06,-0.2"
"2021-06,2021-07,0.8"
"2021-07,2021-08,0.8"
"2021-08,2021-09,0.4"
"2021-09,2021-10,1.8"
"2021-10,2021-11,1.4"
"2021-11,2021-12,0.9"
"2021-12,2022-01,1.5"
"2022-01,2022-02,1.4"
"2022-02,2022-03,2.2"
"2022-03,2022-04,2.5"
